seed	ruleLength	numIntersection	leftturn	rightturn
1377703508540	2087	836	202	217
1377703508542	2642	1058	240	290
1377703508543	2712	1086	253	291
1377703508544	1567	628	243	72
1377703508545	1667	668	157	178
1377703508546	1612	646	145	179
1377703508547	3172	1270	299	337
1377703508548	1297	520	190	71
1377703508549	2697	1080	306	235
1377703508550	3602	1442	352	370
1377703508551	1522	610	140	166
1377703508552	2282	914	228	230
1377703508553	1837	736	240	129
1377703508554	3062	1226	288	326
1377703508555	3002	1202	304	298
1377703508556	1607	644	130	193
1377703508557	3457	1384	325	368
1377703508558	1927	772	144	243
1377703508559	1977	792	191	206
1377703508560	3507	1404	320	383
1377703508561	2792	1118	250	310
1377703508562	2962	1186	334	260
1377703508563	1707	684	265	78
1377703508564	3132	1254	310	318
1377703508565	1662	666	187	147
1377703508566	467	188	53	42
1377703508567	372	150	35	41
1377703508568	457	184	55	38
1377703508569	567	228	57	58
1377703508570	362	146	37	37
1377703508571	347	140	45	26
1377703508572	547	220	62	49
1377703508573	367	148	41	34
1377703508574	392	158	48	32
1377703508575	507	204	48	55
1377703508576	627	252	58	69
1377703508577	582	234	74	44
1377703508578	547	220	51	60
1377703508579	422	170	42	44
1377703508580	347	140	48	23
1377703508581	1027	412	103	104
1377703508582	572	230	64	52
1377703508583	327	132	40	27
1377703508584	502	202	37	65
1377703508585	757	304	68	85
1377703508586	432	174	50	38
1377703508587	667	268	80	55
1377703508588	412	166	60	24
1377703508589	317	128	46	19
1377703508590	672	270	70	66
1377703508591	2427	972	246	241
1377703508605	112	46	17	7
1377703508606	87	36	10	9
1377703508607	147	60	19	12
1377703508608	182	74	21	17
1377703508609	92	38	9	11
1377703508610	132	54	16	12
1377703508611	152	62	16	16
1377703508612	142	58	21	9
1377703508613	162	66	21	13
1377703508614	97	40	17	4
1377703508615	122	50	12	14
1377703508616	202	82	21	21
1377703508617	157	64	23	10
1377703508618	92	38	8	12
1377703508619	142	58	16	14
1377703508620	142	58	21	9
1377703508621	122	50	12	14
1377703508622	132	54	17	11
1377703508623	112	46	18	6
1377703508624	192	78	20	20
1377703508625	172	70	21	15
1377703508626	97	40	11	10
1377703508627	132	54	19	9
1377703508628	132	54	16	12
1377703508630	1987	796	195	204
1377703508631	1972	790	230	166
1377703508632	1947	780	220	171
1377703508633	1737	696	151	198
1377703508634	3137	1256	341	288
1377703508635	2427	972	275	212
1377703508636	2657	1064	304	229
1377703508637	1312	526	145	119
1377703508638	1837	736	186	183
1377703508639	2232	894	244	204
1377703508640	2927	1172	252	335
1377703508641	2302	922	214	248
1377703508642	4282	1714	495	363
1377703508643	3307	1324	283	380
1377703508644	1707	684	180	163
1377703508645	2497	1000	267	234
1377703508646	2747	1100	274	277
1377703508647	4157	1664	359	474
1377703508648	1312	526	148	116
1377703508649	3212	1286	368	276
1377703508650	3422	1370	407	279
1377703508651	3407	1364	391	292
1377703508652	1307	524	99	164
1377703508653	4882	1954	533	445
1377703508654	2472	990	227	269
1377703508658	2012	806	211	193
1377703508659	352	142	42	30
1377703508660	932	374	89	99
1377703508661	667	268	82	53
1377703508662	57	264	7	5
1377895029542	2192	878	199	241
1377895029544	2102	842	249	173
1377895029545	2212	886	184	260
1377895029546	2072	830	277	139
1377895029547	1902	762	254	128
1377895029548	3167	1268	389	246
1377895029549	2717	1088	314	231
1377895029550	1807	724	185	178
1377895029551	2782	1114	331	227
1377895029552	2082	834	177	241
1377895029553	1832	734	245	123
1377895029554	1547	620	129	182
1377895029555	1447	580	165	126
1377895029556	2327	932	257	210
1377895029557	1977	792	235	162
1377895029558	3842	1538	404	366
1377895029559	2472	990	331	165
1377895029560	2467	988	239	256
1377895029561	3637	1456	443	286
1377895029562	3607	1444	337	386
1377895029563	2467	988	227	268
1377895029564	3607	1444	400	323
1377895029565	537	216	65	44
1377895029566	882	354	93	85
1377895029567	502	202	52	50
1377895029568	452	182	63	29
1377895029569	747	300	88	63
1377895029570	487	196	50	49
1377895029571	472	190	63	33
1377895029572	522	210	54	52
1377895029573	542	218	66	44
1377895029574	817	328	89	76
1377895029575	352	142	53	19
1377895029576	362	146	52	22
1377895029577	517	208	54	51
1377895029578	832	334	93	75
1377895029579	577	232	63	54
1377895029580	752	302	83	69
1377895029581	477	192	54	43
1377895029582	1112	446	106	118
1377895029583	677	272	76	61
1377895029584	522	210	59	47
1377895029585	542	218	71	39
1377895029586	487	196	65	34
1377895029587	602	242	68	54
1377895029588	562	226	62	52
1377895029589	622	250	78	48
1377895029590	1517	608	156	149
1377895029591	1027	412	107	100
1377895029592	2057	824	212	201
1377895029593	1312	526	75	189
1377895029594	2222	890	259	187
1377895029595	2087	836	254	165
1377895029596	2007	804	253	150
1377895029597	1917	768	257	128
1377895029598	2227	892	254	193
1377895029599	2657	1064	289	244
1377895029600	2517	1008	244	261
1377895029601	2072	830	196	220
1377895029602	1947	780	161	230
1377895029603	1942	778	254	136
1377895029604	1762	706	269	85
1377895029605	2047	820	290	121
1377895029606	1962	786	239	155
1377895029607	1897	760	210	171
1377895029608	2592	1038	284	236
1377895029609	1877	752	159	218
1377895029610	1837	736	233	136
1377895029611	1972	790	214	182
1377895029612	2927	1172	297	290
